timestamp,bid,ask,imbalance,quoted_spread,bid_q,ask_q,inventory,pnl,pnl_base
1767079109224426195,9900,9920,-0.3333333333333333,9915,0,9915,5,75.0,0.0
1767079111221184985,9925,9940,-0.5,9935,0,9935,5,187.5,0.0
1767079112217485717,9945,9950,0.8181818181818182,9950,0,9950,5,262.5,0.0
1767079113222275834,9915,9935,0.4,9930,0,9930,5,150.0,0.0
1767079114224510765,9925,9935,0.7142857142857143,9935,0,9935,5,175.0,0.0
1767079115220193125,9940,9955,0.8571428571428571,9955,0,9955,5,262.5,0.0
1767079116214540017,9950,9970,0.1,9965,0,9965,5,325.0,0.0
1767079117221089717,9960,9985,0.05263157894736842,9975,0,9975,5,387.5,0.0
1767079118223261798,9960,9975,0.0,9970,0,9970,5,362.5,0.0
1767079119223089907,9935,9955,0.625,9950,0,9950,5,250.0,0.0
1767079120223713148,9890,9900,0.0,9895,0,9895,5,0.0,0.0
1767079121221635911,9885,9900,-0.6666666666666666,9885,0,9885,4,-20.0,0.0
1767079122224301060,9885,9900,-0.3333333333333333,5,9890,9895,4,-20.0,0.0
1767079124221027608,9860,9885,-0.037037037037037035,5,9870,9875,4,-100.0,0.0
1767079125224405723,9870,9885,-0.8666666666666667,0,9870,9870,3,-87.5,0.0
1767079126219464872,9870,9890,0.6190476190476191,-5,9890,9885,4,-90.0,0.0
1767079127222715228,9855,9880,-0.0625,5,9865,9870,4,-140.0,0.0
1767079128223985059,9850,9875,0.5454545454545454,10,9860,9870,4,-160.0,0.0
1767079129224436603,9835,9865,0.5675675675675675,15,9845,9860,4,-210.0,0.0
1767079130221318851,9830,9850,-0.5,10,9835,9845,4,-250.0,0.0
1767079131211380895,9825,9850,0.06666666666666667,5,9835,9840,4,-260.0,0.0
1767079132224078226,9840,9865,0.6,10,9850,9860,4,-200.0,0.0
1767079133221319500,9845,9870,0.6842105263157895,-5,9870,9865,5,-192.5,0.0
1767079134207924160,9875,9900,-0.5,9890,0,9890,5,-42.5,0.0
1767079135222732325,9885,9900,0.3333333333333333,9895,0,9895,5,-17.5,0.0
1767079136220721532,9890,9900,0.8181818181818182,9900,0,9900,5,-5.0,0.0
1767079137224358524,9945,9965,0.4,9960,0,9960,5,295.0,0.0
1767079138216528928,9960,9980,-0.7446808510638298,9960,0,9960,4,360.0,0.0
1767079139223464838,9940,9955,0.7142857142857143,0,9955,9955,5,262.5,0.0
1767079140224075597,9950,9975,0.8461538461538461,9975,0,9975,5,337.5,0.0
1767079141193498138,9960,9980,-0.42857142857142855,9975,0,9975,5,375.0,0.0
1767079142220621128,9945,9965,-0.6,9960,0,9960,5,300.0,0.0
1767079143223298360,9950,9970,-0.9047619047619048,9950,0,9950,4,315.0,0.0
1767079144220083216,9950,9960,-0.75,0,9950,9950,3,290.0,0.0
1767079145221822118,9960,9980,-0.4492753623188406,10,9965,9975,3,335.0,0.0
1767079146218999775,9950,9975,0.1,5,9960,9965,3,312.5,0.0
1767079147215058743,9950,9970,0.0,5,9955,9960,3,305.0,0.0
1767079148222389965,9955,9975,0.3333333333333333,10,9960,9970,3,320.0,0.0
1767079149218826683,9950,9975,0.09090909090909091,5,9960,9965,3,312.5,0.0
1767079150219888499,9935,9965,-0.625,-5,9940,9935,2,260.0,0.0
1767079151217936862,9940,9965,0.6842105263157895,-5,9965,9960,3,252.5,0.0
1767079152199783931,9920,9940,-0.14285714285714285,10,9925,9935,3,185.0,0.0
1767079153223084241,9930,9950,-0.7333333333333333,0,9930,9930,2,205.0,0.0
1767079154223622480,9925,9950,0.6,10,9935,9945,2,200.0,0.0
1767079155220458772,9940,9960,0.75,0,9960,9960,3,215.0,0.0
1767079156224463329,9945,9965,0.0,5,9950,9955,3,230.0,0.0
1767079158220153429,9920,9945,-0.15789473684210525,5,9930,9935,3,162.5,0.0
1767079159222072398,9905,9935,-0.3333333333333333,10,9915,9925,3,125.0,0.0
1767079160224252448,9900,9920,0.6,10,9905,9915,3,95.0,0.0
1767079161223644306,9900,9915,0.75,0,9915,9915,4,80.0,0.0
1767079162219846436,9915,9935,-0.3333333333333333,10,9920,9930,4,150.0,0.0
1767079163223147902,9905,9930,0.84,0,9930,9930,5,107.5,0.0
1767079164223647054,9900,9920,0.6396396396396397,9920,0,9920,5,70.0,0.0
